MEDICARE PROVIDER/SUPPLIER TYPE DESCRIPTION,PROVIDER TAXONOMY CODE,SPECIALTY UNI,Cat.,
Physician/Ophthalmology,207WX0108X   ,"Allopathic & Osteopathic Physicians/Ophthalmology, Uveitis and Ocular Inflammatory Disease",BAD,
Oral Surgery (Dentist only),1223S0112X,"Allopathic & Osteopathic Physicians/Ophthalmology, Dental Providers/Dentist, Oral & Maxillofacial Surgery",BAD,
Physician/Ophthalmology,207W00000X,Allopathic & Osteopathic Physicians/Ophthalmology,BAD,
Physician/Ophthalmology,207WX0009X          ,"Allopathic & Osteopathic Physicians/Ophthalmology, Glaucoma Specialist",BAD,
Physician/Ophthalmology,207WX0107X   ,"Allopathic & Osteopathic Physicians/Ophthalmology, Retina Specialist",BAD,
Physician/Ophthalmology,207WX0109X,Allopathic & Osteopathic Physicians/Ophthalmology/Neuro-ophthalmology,BAD,
Physician/Ophthalmology,207WX0110X,Allopathic & Osteopathic Physicians/Ophthalmology/Pediatric Ophthalmology and Strabismus Specialist,BAD,
Physician/Ophthalmology,207WX0120X,"Allopathic & Osteopathic Physicians/Ophthalmology, Cornea and External Diseases Specialist",BAD,
Physician/Ophthalmology,207WX0200X,Allopathic & Osteopathic Physicians/Ophthalmic Plastic and Reconstructive Surgery,BAD,
Physician/Hospice and Palliative Care,2086H0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, General Surgery",BAD,
Physician/Hospice and Palliative Care,207QH0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, Family Practice",BAD,
Physician/Hospice and Palliative Care,207LH0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, Anesthesiology",BAD,
Physician/Hospice and Palliative Care,207VH0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, Obstetrics & Gynecology",BAD,
Physician/Hospice and Palliative Care,2084H0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, Neuropsychiatry",BAD,
Physician/Hospice and Palliative Care,207PH0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, Emergency Medicine",BAD,
Physician/Obstetrics & Gynecology,207V00000X,Allopathic & Osteopathic Physicians/Obstetrics & Gynecology,BAD,
Physician/Obstetrics & Gynecology,207VB0002X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Bariatric Medicine",BAD,
Physician/Obstetrics & Gynecology,207VC0200X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Critical Care Medicine",BAD,
Physician/Obstetrics & Gynecology,207VF0040X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Female Pelvic Medicine and Reconstructive Surgery",BAD,
Physician/Obstetrics & Gynecology,207VX0201X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Gynecologic Oncology",BAD,
Physician/Obstetrics & Gynecology,207VG0400X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Gynecology",BAD,
Physician/Obstetrics & Gynecology,207VH0002X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Hospice and Palliative Medicine",BAD,
Physician/Obstetrics & Gynecology,207VM0101X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Maternal & Fetal Medicine",BAD,
Physician/Obstetrics & Gynecology,207VC0300X,Complex Family Planning,BAD,
Physician/Obstetrics & Gynecology,207VX0000X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Obstetrics",BAD,
Physician/Obstetrics & Gynecology,207VE0102X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Reproductive Endocrinology",BAD,
Speech Language Pathologist,235Z00000X,"Speech, Language and Hearing Service Providers   ",BAD,
Physician/Neurology,2085N0700X,Allopathic & Osteopathic Physicians/Radiology/Neuroradiology,BAD,
Physician/Neurology,2084E0001X,"Allopathic & Osteopathic Physicians/Psychiatry and Neurology, Epilepsy",BAD,
Physician/Internal Medicine,207RA0401X,"Allopathic & Osteopathic Physicians/Internal Medicine, Addiction Medicine",BAD,
Physician/Internal Medicine,207RA0000X,"Allopathic & Osteopathic Physicians/Internal Medicine, Adolescent Medicine",BAD,
Physician/Internal Medicine,207RA0001X,Allopathic & Osteopathic Physicians/Advanced Heart Failure and Transplant Cardiology,BAD,
Physician/Internal Medicine,207RA0201X,"Allopathic & Osteopathic Physicians/Internal Medicine, Allergy & Immunology",BAD,
Physician/Internal Medicine,207RB0002X,"Allopathic & Osteopathic Physicians/Internal Medicine, Bariatric Medicine",BAD,
Physician/Internal Medicine,207RC0000X,"Allopathic & Osteopathic Physicians/Internal Medicine, Cardiovascular Disease",BAD,
Physician/Internal Medicine,207RI0001X,"Allopathic & Osteopathic Physicians/Internal Medicine, Clinical & Laboratory Immunology",BAD,
Physician/Internal Medicine,207RE0101X,"Allopathic & Osteopathic Physicians/Internal Medicine, Endocrinology, Diabetes, & Metabolism",BAD,
Physician/Internal Medicine,207RG0100X,"Allopathic & Osteopathic Physicians/Internal Medicine, Gastroenterology",BAD,
Physician/Internal Medicine,207RH0000X,"Allopathic & Osteopathic Physicians/Internal Medicine, Hematology",BAD,
Physician/Internal Medicine,207RH0003X,"Allopathic & Osteopathic Physicians/Internal Medicine, Hematology & Oncology",BAD,
Physician/Internal Medicine,207RI0008X,"Allopathic & Osteopathic Physicians/Internal Medicine, Hepatology",BAD,
Physician/Internal Medicine,207RH0002X,"Allopathic & Osteopathic Physicians/Internal Medicine, Hospice and Palliative Medicine",BAD,
Physician/Internal Medicine,207RI0200X,"Allopathic & Osteopathic Physicians/Internal Medicine, Infectious Disease",BAD,
Physician/Internal Medicine,207RM1200X,"Allopathic & Osteopathic Physicians/Internal Medicine, Magnetic Resonance Imaging (MRI)",BAD,
Physician/Internal Medicine,207RX0202X,"Allopathic & Osteopathic Physicians/Internal Medicine, Medical Oncology",BAD,
Physician/Internal Medicine,207RN0300X,"Allopathic & Osteopathic Physicians/Internal Medicine, Nephrology",BAD,
Physician/Internal Medicine,207RP1001X,"Allopathic & Osteopathic Physicians/Internal Medicine, Pulmonary Disease",BAD,
Physician/Internal Medicine,207RS0012X,"Allopathic & Osteopathic Physicians/Internal Medicine, Sleep Medicine",BAD,
Physician/Internal Medicine,207RT0003X,"Allopathic & Osteopathic Physicians/Internal Medicine, Transplant Hepatology",BAD,
Physician/Gastroenterology,207RG0100X,"Allopathic & Osteopathic Physicians/Internal Medicine, Gastroenterology",BAD,
Physician/Family Practice,207QA0401X,"Allopathic & Osteopathic Physicians/Family Medicine, Addiction Medicine",BAD,
Physician/Family Practice,207QA0000X,"Allopathic & Osteopathic Physicians/Family Medicine, Adolescent Medicine",BAD,
Physician/Family Practice,207QB0002X,"Allopathic & Osteopathic Physicians/Family Medicine, Bariatric Medicine",BAD,
Physician/Family Practice,207QH0002X,"Allopathic & Osteopathic Physicians/Family Medicine, Hospice and Palliative Medicine",BAD,
Physician/Family Practice,207QS1201X,"Allopathic & Osteopathic Physicians/Family Medicine, Sleep Medicine",BAD,
Physician/Dermatology,207N00000X,Allopathic & Osteopathic Physicians/Dermatology,BAD,
Physician/Dermatology,207NI0002X,"Allopathic & Osteopathic Physicians/Dermatology, Clinical & Laboratory Dermatological Immunology",BAD,
Physician/Dermatology,207ND0101X,"Allopathic & Osteopathic Physicians/Dermatology, MOHS-Micrographic Surgery",BAD,
Physician/Dermatology,207ND0900X,"Allopathic & Osteopathic Physicians/Dermatology, Dermapathology",BAD,
Physician/Dermatology,207NP0225X,"Allopathic & Osteopathic Physicians/Dermatology, Pediatric Dermatology",BAD,
Physician/Dermatology,207NS0135X,"Allopathic &Osteopathic Physicians/Dermatology, Procedural Dermatology",BAD,
Physician/Cardiovascular Disease (Cardiology),207RC0000X,"Allopathic & Osteopathic Physicians/Internal Medicine, Cardiovascular Disease",BAD,
Physician/Anesthesiology,207L00000X,Allopathic & Osteopathic Physicians/Anesthesiology,BAD,
Physician/Anesthesiology,207LA0401X,Allopathic & Osteopathic Physicians/Anesthesiology/Addiction Medicine,BAD,
Physician/Anesthesiology,207LC0200X,Allopathic & Osteopathic Physicians/Anesthesiology/Critical Care Medicine,BAD,
Physician/Anesthesiology,207LH0002X,Allopathic & Osteopathic Physicians/Anesthesiology/Hospice and Palliative Medicine,BAD,
Physician/Anesthesiology,207LP3000X,Allopathic & Osteopathic Physicians/Anesthesiology/Pediatric Anesthesiology,BAD,
Physician/Otolaryngology,207YX0007X,Allopathic & Osteopathic Physicians/Otolaryngology/Plastic Surgery within the Head & Neck,BAD,
Physician/Otolaryngology,207Y00000X,Allopathic & Osteopathic Physicians/ Otolaryngology,BAD,
Physician/Otolaryngology,207YS0123X,Allopathic & Osteopathic Physicians/ Otolaryngology/Facial Plastic Surgery,BAD,
Physician/Otolaryngology,207YX0602X,Allopathic & Osteopathic Physicians/Otolaryngology/Otolaryngic Allergy,BAD,
Physician/Otolaryngology,207YX0905X,Allopathic & Osteopathic Physicians/Otolaryngology/Otolaryngology/Facial Plastic Surgery,BAD,
Physician/Otolaryngology,207YX0901X,Allopathic & Osteopathic Physicians/Otolaryngology/Otology &Neurotology,BAD,
Physician/Otolaryngology,207YP0228X,Allopathic & Osteopathic Physicians/Otolaryngology/Pediatric Otolaryngology,BAD,
Physician/Otolaryngology,207YS0012X,Allopathic & Osteopathic Physicians/Otolaryngology/Sleep Medicine,BAD,
Physician/Allergy/ Immunology,207K00000X,Allopathic & Osteopathic Physicians/Allergy and Immunology,BAD,
Physician/Allergy/ Immunology,207KA0200X,Allopathic & Osteopathic Physicians/Allergy and Immunology/Allergy,BAD,
Physician/Allergy/ Immunology,207KI0005X,Allopathic & Osteopathic Physicians/Allergy and Immunology/Clinical & Laboratory Immunology,BAD,
Physician/General Surgery,2086S0122X,Allopathic & Osteopathic Physicians/Surgery/Plastic and Reconstructive Surgery,BAD,
Physician/General Surgery,2086S0127X,Allopathic & Osteopathic Physicians/Surgery/Trauma Surgery,BAD,
Physician/General Surgery,2082S0099X,Allopathic & Osteopathic Physicians/Plastic Surgery/Plastic Surgery Within the Head & Neck,BAD,
Physician/General Surgery,2086H0002X,Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine,BAD,
Physician/General Surgery,2086X0206X,Allopathic & Osteopathic Physicians/Surgery/Surgical Oncology,BAD,
Physician/General Surgery,2086S0129X,Allopathic & Osteopathic Physicians/Surgery/Vascular Surgery,BAD,
Physician/General Surgery,208G00000X,Allopathic & Osteopathic Physicians/Thoracic Surgery (Cardiothoracic Vascular Surgery),BAD,
Physician/General Surgery,204F00000X,Allopathic & Osteopathic Physicians/Transplant Surgery,BAD,
Physician/General Surgery,208C00000X,Allopathic & Osteopathic Physicians/Colon & Rectal Surgery,BAD,
Physician/General Surgery,204E00000X,Allopathic & Osteopathic Physicians/Oral & Maxillofacial Surgery,BAD,
Physician/General Surgery,208200000X,Allopathic & Osteopathic Physicians/Plastic Surgery,BAD,
Specialist,174400000X,Specialist,GOOD,GOOD
