MEDICARE PROVIDER/SUPPLIER TYPE DESCRIPTION,PROVIDER TAXONOMY CODE,SPECIALTY UNI,Cat.,
Physician/Family Practice,207QS0010X,"Allopathic & Osteopathic Physicians/Family Medicine, Sports Medicine",GOOD,
Physician/Anesthesiology,207LP2900X,Allopathic & Osteopathic Physicians/Anesthesiology/Pain Medicine,GOOD,
Physician/General Surgery,208600000X,Allopathic & Osteopathic Physicians/Surgery,GOOD,
Physician/General Surgery,2086S0105X,Allopathic & Osteopathic Physicians/Surgery/Surgery of the Hand,GOOD,
Physician/General Surgery,2086S0102X,Allopathic & Osteopathic Physicians/Surgery/Surgical Critical Care,GOOD,
Physician/General Surgery,207T00000X,Allopathic & Osteopathic Physicians/Neurological Surgery,GOOD,
Physician/General Surgery,207X00000X,Allopathic & Osteopathic Physicians/Orthopedic Surgery,GOOD,
Physician/General Surgery,207XS0114X,Allopathic & Osteopathic Physicians/Orthopedic Surgery/Adult Reconstructive Orthopedic Surgery,GOOD,
Physician/General Surgery,207XX0004X,Allopathic & Osteopathic Physicians/Orthopedic Surgery/Foot and Ankle Surgery,GOOD,
Physician/General Surgery,207XS0106X,Allopathic & Osteopathic Physicians/Orthopedic Surgery/Hand Surgery,GOOD,
Physician/General Surgery,207XS0117X,Allopathic & Osteopathic Physicians/Orthopedic Surgery/Orthopedic Surgery of the Spine,GOOD,
Physician/General Surgery,207XX0801X,Allopathic & Osteopathic Physicians/Orthopedic Surgery/Orthopedic Trauma,GOOD,
Physician/General Surgery,207XX0005X,Allopathic & Osteopathic Physicians/Orthopedic Surgery/Sports Medicine,GOOD,
Physician/General Surgery,2082S0105X,Allopathic & Osteopathic Physicians/Plastic Surgery/Surgery of the Hand,GOOD,
Physician/General Surgery,2086S0120X,Allopathic & Osteopathic Physicians/Surgery/Pediatric Surgery,GOOD,
Physician/General Surgery,207XP3100X,Allopathic & Osteopathic Physicians/Orthopedic Surgery/Pediatric Orthopedic Surgery,GOOD,
Physician/Neuropsychiatry,2084N0400X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neurology",BAD,
Physician/Neuropsychiatry,2084N0402X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Neurology with Special Qualifications in Child Neurology",GOOD,
Physician/Critical Care (Intensivists),207RC0200X,"Allopathic & Osteopathic Physicians/Internal Medicine, Critical Care Medicine",GOOD,
Physician/General Practice,208D00000X,Allopathic & Osteopathic Physicians/General Practice,GOOD,
Physician/Neuropsychiatry,2084A0401X,Allopathic & Osteopathic Physicians/ Psychiatry & Neurology,BAD,
Physician/Hospice and Palliative Care,207RH0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, Internal Medicine",BAD,
Mental Health Counselor,101YM0800X,Behavioral Health & Social Service Providers/Counselor,BAD,
Licensed Professional Counselor,101YP2500X,Behavioral Health & Social Service Providers/Counselor,BAD,
Marriage and Family Therapist,106H00000X,Behavioral Health & Social Service Providers/Marriage and Family Therapist,BAD,
Adult Congenital Heart Disease,207RA0002X,"Allopathic & Osteopathic Physicians, Internal Medicine",BAD,
Micrographic Dermatologic Surgery,207ND0101X,"Allopathic & Osteopathic Physicians, Dermatology, MOHS-Micrographic Surgery",BAD,
Home Infusion Therapy Services,3336H0001X,"Suppliers, Pharmacy, Home Infusion Therapy Services",BAD,
Opioid Treatment Program,261QR0405X,"Ambulatory Health Care Facilities/Clinic/Center, Rehabilitation",BAD,
Undersea and Hyperbaric Medicine,207PE0005X,Allopathic & Osteopathic Physicians/Undersea and Hyperbaric Medicine,BAD,
Medical Genetics and Genomics,207SG0201X,Allopathic & Osteopathic Physicians/Clinical Genetics,BAD,
Medical Genetics and Genomics,207SG0202X,"Allopathic & Osteopathic Physicians, Medical Genetics/Clinical Biochemical Genetics",BAD,
Medical Genetics and Genomics,207SG0203X,Allopathic & Osteopathic Physicians/ Medical Genetics/Clinical Molecular Genetics,BAD,
Medical Genetics and Genomics,207SG0205X,Allopathic & Osteopathic Physicians/Medical Genetics/Ph.D. Medical Genetics,BAD,
Medical Genetics and Genomics,207SM0001X,Allopathic & Osteopathic Physicians/Medical Genetics/Molecular Genetic Pathology,BAD,
Medicare Diabetes Preventive Program,174H00000X,"Other Service Providers, Health Educator",BAD,
Hematopoietic Cell Transplantation and Cellular Therapy,,,BAD,
Physician/Medical Toxicology,207PT0002X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Medical Toxicology",BAD,
Physician/Advanced Heart Failure and Transplant Cardiology,207RA0001X,Allopathic & Osteopathic Physicians/Advanced Heart Failure and Transplant Cardiology,BAD,
Physician/Hospitalist,208M00000X,Allopathic & Osteopathic Physicians/Hospitalist,BAD,
Dentist,122300000X,Dental Providers/Dentist,BAD,
Dentist,1223G0001X,Dental Providers/Dentist/General Practice,BAD,
Physician/Interventional Cardiology,207RI0011X,"Allopathic & Osteopathic Physicians/Internal Medicine, Interventional Cardiology",BAD,
Physician/Sleep Medicine,207QS1201X,"Allopathic & Osteopathic Physicians/Family Medicine, Sleep Medicine",BAD,
Physician/Sleep Medicine,207RS0012X,"Allopathic & Osteopathic Physicians/Internal Medicine, Sleep Medicine",BAD,
Specialist,174400000X,Specialist,GOOD,
Physician/Sleep Medicine,2080S0012X,"Allopathic & Osteopathic Physicians/Pediatrics, Sleep Medicine",BAD,
Physician/Sleep Medicine,2084S0012X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Sleep Medicine",BAD,
Physician/Sleep Medicine,261QS1200X,Allopathic & Osteopathic Physicians/Ambulatory Health Care Facilities/Sleep Disorder Diagnostic,BAD,
Ocularist,156FX1700X,"Eye and Vision Services Providers, Technician/Technologist, Ocularist",BAD,
Rehabilitation Agency,261QR0400X,"Ambulatory Health Care Facilities/Clinic/Center, Rehabilitation",BAD,
Organ Procurement Organization,335U00000X,Suppliers/Organ Procurement Organization,BAD,
Community Mental Health Center,261QM0801X,"Ambulatory Health Care Facilities/Clinic/Center, Mental Health",BAD,
Comprehensive Outpatient Rehabilitation Facility,261QR0401X,"Ambulatory Health Care Facilities/Clinic/Center, Rehabilitation, Comprehensive Outpatient Rehabilitation Facility (CORF)",BAD,
End-Stage Renal Disease Facility,261QE0700X,Ambulatory Health Care Facilities/End-Stage Renal Disease (ESRD) Treatment,BAD,
Federally Qualified Health Center,261QF0400X,Ambulatory Health Care Facilities/Federally Qualified Health Center (FQHC),BAD,
Hospice,251G00000X,"Agencies/Hospice Care, Community Based",BAD,
Histocompatibility Laboratory,291U00000X,Laboratories/Clinical Medical Laboratory,BAD,
Histocompatibility Laboratory,291900000X,Laboratories/Military Clinical Medical Laboratory,BAD,
Outpatient Physical Therapy/Occupational Therapy/Speech Pathology Services,261QR0400X,"Ambulatory Health Care Facilities/Clinic/Center, Rehabilitation",BAD,
Rehabilitation Agency,315D00000X,"Nursing & Custodial Care Facilities/Hospice, Inpatient",BAD,
Religious Non-Medical Health Care Institution,282J00000X,Hospitals/Religious Non-medical Health Care Institution,BAD,
Rural Health Clinic,261QR1300X,"Ambulatory Health Care Facilities/Clinic/Center, Rural Health",BAD,
Medical supply company with pedorthic personnel,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies,BAD,
Pedorthic personnel,222Z00000X,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers/Orthotist",BAD,
Pedorthic personnel,224P00000X,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers/Prosthetist",BAD,
Oxygen supplier,332BX2000X,"Suppliers/Durable Medical Equipment & Medical Supplies, Oxygen Equipment & Supplies",BAD,
Indian Health Service facility[13],332800000X,Suppliers/Indian Health Service/Tribal/Urban Indian Health (I/T/U) Pharmacy,BAD,
Grocery Store,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies,BAD,
Department Store,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies,BAD,
Medical Supply Company with Respiratory Therapist,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies,BAD,
Pharmacy,333600000X,Suppliers/Pharmacy,BAD,
Pharmacy,3336C0002X,"Suppliers/Pharmacy, Clinic Pharmacy",BAD,
Pharmacy,3336C0003X,"Suppliers/Pharmacy, Community/Retail Pharmacy",BAD,
Pharmacy,3336C0004X,"Suppliers/Pharmacy, Compounding Pharmacy",BAD,
Pharmacy,3336H0001X,"Suppliers/Pharmacy, Home Infusion Therapy Pharmacy",BAD,
Pharmacy,3336I0012X,"Suppliers/Pharmacy, Institutional Pharmacy",BAD,
Pharmacy,3336L0003X,"Suppliers/Pharmacy, Long-term Care Pharmacy",BAD,
Pharmacy,3336M0002X,"Suppliers/Pharmacy, Mail Order Pharmacy",BAD,
Pharmacy,3336M0003X,"Suppliers/Pharmacy, Managed Care Organization Pharmacy",BAD,
Pharmacy,3336N0007X,"Suppliers/Pharmacy, Nuclear Pharmacy",BAD,
Pharmacy,3336S0011X,"Suppliers/Pharmacy, Specialty Pharmacy",BAD,
Pharmacy,1835C0205X,"Suppliers/Pharmacy, Critical Care",BAD,
Pharmacy,1835P0200X,"Suppliers/Pharmacy, Pediatrics",BAD,
Home Health Agency,251E00000X,Agencies/Home Health,BAD,
Home Health Agency (Subunit),251E00000X,Agencies/Home Health,BAD,
Other Nursing Facility,313M00000X,Nursing and Custodial Care Facilities/Nursing Facility,BAD,
Intermediate Care Nursing Facility,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies,BAD,
Intermediate Care Nursing Facility,315P00000X,"Nursing & Custodial Care Facilities/Intermediate Care Facility, Mentally Retarded",BAD,
Skilled Nursing Facility,314000000X,Nursing and Custodial Care Facilities/Skilled Nursing Facility,BAD,
Skilled Nursing Facility,3140N1450X,"Nursing & Custodial Care Facilities/Skilled Nursing Facility/Nursing Care, Pediatric",BAD,
Hospital-General,282N00000X,Hospitals/General Acute Care Hospital,BAD,
Hospital-Acute Care,282N00000X,Hospitals/General Acute Care Hospital,BAD,
Hospital-Children’s (PPS excluded),282NC2000X,"Hospitals/General Acute Care Hospital, Children",BAD,
Hospital-Long-Term (PPS excluded),282E00000X,Hospitals/Long Term Care Hospital,BAD,
Hospital-Psychiatric (PPS excluded),283Q00000X,Hospitals/Psychiatric Hospital,BAD,
Hospital-Rehabilitation (PPS excluded),283X00000X,Hospitals/Rehabilitation Hospital,BAD,
Hospital-Short-Term (General and Specialty),282N00000X,Hospitals/General Acute Care Hospital,BAD,
Hospital Units,273100000X,Hospital Units/Epilepsy Unit,BAD,
Hospital Units,276400000X,Hospital Units/Rehabilitation/Substance Use Disorder Unit,BAD,
Hospitals,281P00000X,Hospitals/Chronic Disease Hospital,BAD,
Hospitals,281PC2000X,Hospitals/Chronic Disease Hospital/Children,BAD,
Hospitals,282NR1301X,Hospitals/General Acute Care Hospital/Rural,BAD,
Hospitals,282NW0100X,Hospitals/General Acute Care Hospital/Women,BAD,
Hospitals,283XC2000X,Hospitals/General Acute Care Hospital/Children,BAD,
Hospitals,286500000X,Hospitals/Military Hospital,BAD,
Hospitals,2865M2000X,Hospitals/Military Hospital/Military General Acute Care Hospital,BAD,
Hospitals,2865X1600X,Hospitals/Military Hospital/Military General Acute Care Hospital. Operational (Transportable),BAD,
Hospital-Swing Bed Approved,275N00000X,Hospital Units/Medicare Defined Swing Bed Unit,BAD,
Hospital-Psychiatric Unit,273R00000X,Hospital Units/Psychiatric Unit,BAD,
Hospital-Rehabilitation Unit,273Y00000X,Hospital Units/Rehabilitation Unit,BAD,
"Hospital-Specialty Hospital (cardiac, orthopedic, surgical)",284300000X,Hospitals/Special(ty) Hospital,BAD,
Critical Access Hospital,282NC0060X,"Hospitals/General Acute Care Hospital, Critical Access",BAD,
Optician,156FX1800X,"Eye & Vision Service Providers/Technician/Technologist, Optician",BAD,
All Other Suppliers,332B00000X,Suppliers/Durable Medical Equipment & Medical Supplies,BAD,
Physician/Gynecological Oncology,207VX0201X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Gynecologic Oncology",BAD,
Advance Diagnostic Imaging,,,BAD,
